,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],H1/3 /b [-],ncg [g],nbow [g]
0,10,0.6,38,4,0.667,0.53,2.18
1,10,0.6,38,4,0.444,0.33,1.44
2,10,0.6,40.7,4,0.222,0.67,2.06
3,10,0.6,40.7,4,0.444,1.04,3.44
4,10,0.6,40.7,4,0.667,1.47,4.26
5,10,0.6,32,4,0.222,1.01,3.56
6,10,0.6,32,4,0.444,2.4,7.2
7,30,0.6,33.3,6,0.444,0.73,3.06
8,30,0.6,33.3,6,0.222,0.34,1.4
9,30,0.6,33.3,6,0.667,1.01,3.73
10,30,0.6,37.8,4,0.667,0.24,1.35
11,30,0.6,37.8,4,0.444,0.15,0.83
12,30,0.6,39.6,4,0.444,0.39,1.8
13,30,0.6,39.6,4,0.222,0.24,1.06
14,30,0.6,39.6,4,0.667,0.66,2.39
15,30,0.6,37.9,4,0.222,0.36,1.36
16,30,0.6,37.9,4,0.444,1,3.05
17,10,0.6,33,6,0.444,1.7,5.57
18,10,0.6,33,6,0.222,0.9,3.02
19,10,0.6,33,6,0.667,1.91,6.31
20,20,0.6,40.8,4,0.444,0.71,2.35
21,20,0.6,40.8,4,0.222,0.45,1.65
22,20,0.6,40.8,4,0.667,1.05,3.09
23,20,0.72,40.6,4,0.444,0.15,0.79
24,20,0.6,38.4,4,0.444,0.26,1.17
25,20,0.6,38.4,4,0.667,0.43,1.78
26,20,0.6,38.4,4,0.222,0.14,0.82
27,20,0.48,37.2,4,0.222,0.55,2.1
28,20,0.48,37.2,4,0.667,1.19,4.2
29,20,0.6,36,4,0.444,1.77,5.33
30,20,0.6,36,4,0.222,0.68,2.1
31,20,0.48,35.3,4,0.444,0.31,1.55
32,20,0.48,35.3,4,0.222,0.19,1.09
33,20,0.6,33.2,6,0.222,0.57,2.09
34,20,0.6,33.2,6,0.444,1.22,4
35,20,0.6,33.2,6,0.667,1.68,5.5
36,20,0.6,32.3,6,0.667,0.65,3.12
37,20,0.6,32.3,6,0.444,0.38,1.97
38,20,0.6,32.3,6,0.222,0.22,1.3
39,20,0.72,43.5,4,0.222,0.34,1.17
40,20,0.72,43.5,4,0.444,0.43,1.73
41,20,0.72,43.5,4,0.667,0.59,2.01
42,20,0.72,42.4,4,0.444,1.36,3.36
43,20,0.72,42.4,4,0.222,0.58,1.72
44,20,0.48,45.7,4,0.222,0.29,1.06
45,20,0.48,45.7,4,0.444,0.62,1.93
46,20,0.48,45.7,4,0.667,0.68,2.18
47,20,0.384,42.3,4,0.667,0.99,2.89
48,20,0.384,42.3,4,0.444,0.85,2.26
49,20,0.384,42.3,4,0.222,0.57,1.91
50,20,0.48,42.3,4,0.222,0.83,2.35
51,20,0.48,42.3,4,0.444,1.88,4.08
52,20,0.48,41.2,4,0.222,0.13,0.56
53,20,0.48,41.2,4,0.444,0.15,0.66
54,20,0.48,41.2,4,0.677,0.3,0.8
55,20,0.384,38.6,4,0.667,0.39,1.22
56,20,0.384,38.6,4,0.444,0.3,1.06
57,20,0.384,35,4,0.444,1.81,5.03
58,20,0.384,35,4,0.222,0.95,3.02
59,20,0.600000024,44.4,2.329999924,0.439999998,0.350885246,0.8
60,20,0.600000024,41.4,3.470000029,0.439999998,0.438836066,1.15
61,20,0.720000029,44.4,2.849999905,0.439999998,0.330557377,0.75
62,20,0.720000029,35.4,6.119999886,0.439999998,0.69154918,1.85
63,20,0.600000024,44.4,2.220000029,0.670000017,0.41095082,0.92
64,20,0.600000024,41.4,3.680000067,0.670000017,0.670614754,1.72
65,20,0.720000029,44.4,2.589999914,0.670000017,0.41252459,1.07
66,20,0.720000029,35.4,6.510000229,0.670000017,1.020983607,2.12
67,20,0.600000024,44.4,2.910000086,0.439999998,0.768065574,1.45
68,20,0.600000024,41.4,3.480000019,0.439999998,0.908836066,1.58
69,20,0.720000029,44.4,3.480000019,0.439999998,0.827180328,1.53
70,20,0.720000029,35.4,4.659999847,0.439999998,1.071606557,2.04
71,20,0.600000024,44.4,3.339999914,0.670000017,1.08652459,1.78
72,20,0.600000024,41.4,4.010000229,0.670000017,1.195852459,1.8
