,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],Fn [-],H1/3 /b [-],ncg [g]
0,10,0.6,38,4,0.594961647,0.667,0.53
1,10,0.6,38,4,0.594961647,0.444,0.33
2,10,0.6,40.7,4,1.189923294,0.222,0.67
3,10,0.6,40.7,4,1.189923294,0.444,1.04
4,10,0.6,40.7,4,1.189923294,0.667,1.47
5,10,0.6,32,4,1.78488494,0.222,1.01
6,10,0.6,32,4,1.78488494,0.444,2.4
7,30,0.6,33.3,6,1.189923294,0.444,0.73
8,30,0.6,33.3,6,1.189923294,0.222,0.34
9,30,0.6,33.3,6,1.189923294,0.667,1.01
10,30,0.6,37.8,4,0.594961647,0.667,0.24
11,30,0.6,37.8,4,0.594961647,0.444,0.15
12,30,0.6,39.6,4,1.189923294,0.444,0.39
13,30,0.6,39.6,4,1.189923294,0.222,0.24
14,30,0.6,39.6,4,1.189923294,0.667,0.66
15,30,0.6,37.9,4,1.78488494,0.222,0.36
16,30,0.6,37.9,4,1.78488494,0.444,1
17,10,0.6,33,6,1.189923294,0.444,1.7
18,10,0.6,33,6,1.189923294,0.222,0.9
19,10,0.6,33,6,1.189923294,0.667,1.91
20,20,0.6,40.8,4,1.189923294,0.444,0.71
21,20,0.6,40.8,4,1.189923294,0.222,0.45
22,20,0.6,40.8,4,1.189923294,0.667,1.05
23,20,0.72,40.6,4,0.594961647,0.444,0.15
24,20,0.6,38.4,4,0.594961647,0.444,0.26
25,20,0.6,38.4,4,0.594961647,0.667,0.43
26,20,0.6,38.4,4,0.594961647,0.222,0.14
27,20,0.48,37.2,4,1.189923294,0.222,0.55
28,20,0.48,37.2,4,1.189923294,0.667,1.19
29,20,0.6,36,4,1.78488494,0.444,1.77
30,20,0.6,36,4,1.78488494,0.222,0.68
31,20,0.48,35.3,4,0.594961647,0.444,0.31
32,20,0.48,35.3,4,0.594961647,0.222,0.19
33,20,0.6,33.2,6,1.189923294,0.222,0.57
34,20,0.6,33.2,6,1.189923294,0.444,1.22
35,20,0.6,33.2,6,1.189923294,0.667,1.68
36,20,0.6,32.3,6,0.594961647,0.667,0.65
37,20,0.6,32.3,6,0.594961647,0.444,0.38
38,20,0.6,32.3,6,0.594961647,0.222,0.22
39,20,0.72,43.5,4,1.189923294,0.222,0.34
40,20,0.72,43.5,4,1.189923294,0.444,0.43
41,20,0.72,43.5,4,1.189923294,0.667,0.59
42,20,0.72,42.4,4,1.78488494,0.444,1.36
43,20,0.72,42.4,4,1.78488494,0.222,0.58
44,20,0.48,45.7,4,1.189923294,0.222,0.29
45,20,0.48,45.7,4,1.189923294,0.444,0.62
46,20,0.48,45.7,4,1.189923294,0.667,0.68
47,20,0.384,42.3,4,1.189923294,0.667,0.99
48,20,0.384,42.3,4,1.189923294,0.444,0.85
49,20,0.384,42.3,4,1.189923294,0.222,0.57
